id,age_group,age_num,sex,experiment,trial,speaker,target_category,picked_category,correct
part_1_simple_inference,3,3.2163242009132422,M,simple_inference,1,Beaver,clothes,vehicles,0
part_1_simple_inference,3,3.2163242009132422,M,simple_inference,2,Bunny,vehicles,vehicles,1
part_1_simple_inference,3,3.2163242009132422,M,simple_inference,3,Tiger,mammals,fruits,0
part_1_simple_inference,3,3.2163242009132422,M,simple_inference,4,Mouse,fruits,fruits,1
part_2_simple_inference,3,3.3286529680365295,F,simple_inference,1,Pig,fruits,fruits,1
part_2_simple_inference,3,3.3286529680365295,F,simple_inference,2,Beaver,mammals,mammals,1
part_2_simple_inference,3,3.3286529680365295,F,simple_inference,3,Mouse,vehicles,fruits,0
part_2_simple_inference,3,3.3286529680365295,F,simple_inference,4,Tiger,clothes,clothes,1
part_3_simple_inference,3,3.2327625570776255,M,simple_inference,1,Pig,clothes,clothes,1
part_3_simple_inference,3,3.2327625570776255,M,simple_inference,2,Bunny,fruits,vehicles,0
part_3_simple_inference,3,3.2327625570776255,M,simple_inference,3,Mouse,mammals,vehicles,0
part_3_simple_inference,3,3.2327625570776255,M,simple_inference,4,Sheep,vehicles,vehicles,1
part_4_simple_inference,3,3.4848173515981733,F,simple_inference,1,Tiger,mammals,fruits,0
part_4_simple_inference,3,3.4848173515981733,F,simple_inference,2,Beaver,clothes,fruits,0
part_4_simple_inference,3,3.4848173515981733,F,simple_inference,3,Frog,fruits,vehicles,0
part_4_simple_inference,3,3.4848173515981733,F,simple_inference,4,Sheep,vehicles,vehicles,1
part_5_simple_inference,3,3.9396118721461186,M,simple_inference,1,Tiger,vehicles,vehicles,1
part_5_simple_inference,3,3.9396118721461186,M,simple_inference,2,Bunny,clothes,clothes,1
part_5_simple_inference,3,3.9396118721461186,M,simple_inference,3,Beaver,fruits,fruits,1
part_5_simple_inference,3,3.9396118721461186,M,simple_inference,4,Frog,mammals,mammals,1
part_6_simple_inference,4,4.550570776255708,F,simple_inference,1,Frog,fruits,fruits,1
part_6_simple_inference,4,4.550570776255708,F,simple_inference,2,Beaver,clothes,mammals,0
part_6_simple_inference,4,4.550570776255708,F,simple_inference,3,Tiger,vehicles,mammals,0
part_6_simple_inference,4,4.550570776255708,F,simple_inference,4,Pig,mammals,fruits,0
part_7_simple_inference,3,3.972488584474886,F,simple_inference,1,Sheep,vehicles,mammals,0
part_7_simple_inference,3,3.972488584474886,F,simple_inference,2,Beaver,mammals,mammals,1
part_7_simple_inference,3,3.972488584474886,F,simple_inference,3,Mouse,clothes,clothes,1
part_7_simple_inference,3,3.972488584474886,F,simple_inference,4,Pig,fruits,fruits,1
part_8_simple_inference,4,4.972488584474886,M,simple_inference,1,Beaver,mammals,vehicles,0
part_8_simple_inference,4,4.972488584474886,M,simple_inference,2,Tiger,vehicles,vehicles,1
part_8_simple_inference,4,4.972488584474886,M,simple_inference,3,Frog,clothes,fruits,0
part_8_simple_inference,4,4.972488584474886,M,simple_inference,4,Sheep,fruits,vehicles,0
part_9_simple_inference,4,4.002625570776256,M,simple_inference,1,Tiger,mammals,mammals,1
part_9_simple_inference,4,4.002625570776256,M,simple_inference,2,Pig,fruits,fruits,1
part_9_simple_inference,4,4.002625570776256,M,simple_inference,3,Mouse,clothes,mammals,0
part_9_simple_inference,4,4.002625570776256,M,simple_inference,4,Beaver,vehicles,fruits,0
part_10_simple_inference,4,4.054680365296804,M,simple_inference,1,Sheep,mammals,vehicles,0
part_10_simple_inference,4,4.054680365296804,M,simple_inference,2,Mouse,clothes,vehicles,0
part_10_simple_inference,4,4.054680365296804,M,simple_inference,3,Bunny,vehicles,vehicles,1
part_10_simple_inference,4,4.054680365296804,M,simple_inference,4,Frog,fruits,mammals,0
part_11_simple_inference,4,4.191666666666666,M,simple_inference,1,Bunny,clothes,mammals,0
part_11_simple_inference,4,4.191666666666666,M,simple_inference,2,Tiger,vehicles,vehicles,1
part_11_simple_inference,4,4.191666666666666,M,simple_inference,3,Beaver,mammals,mammals,1
part_11_simple_inference,4,4.191666666666666,M,simple_inference,4,Pig,fruits,fruits,1
part_12_simple_inference,3,3.12865296803653,F,simple_inference,1,Bunny,vehicles,vehicles,1
part_12_simple_inference,3,3.12865296803653,F,simple_inference,2,Pig,clothes,mammals,0
part_12_simple_inference,3,3.12865296803653,F,simple_inference,3,Mouse,fruits,fruits,1
part_12_simple_inference,3,3.12865296803653,F,simple_inference,4,Beaver,mammals,mammals,1
part_13_simple_inference,3,3.287557077625571,M,simple_inference,1,Beaver,vehicles,vehicles,1
part_13_simple_inference,3,3.287557077625571,M,simple_inference,2,Mouse,mammals,fruits,0
part_13_simple_inference,3,3.287557077625571,M,simple_inference,3,Frog,clothes,fruits,0
part_13_simple_inference,3,3.287557077625571,M,simple_inference,4,Sheep,fruits,vehicles,0
part_14_simple_inference,4,4.219063926940639,"NA",simple_inference,1,Mouse,mammals,clothes,0
part_14_simple_inference,4,4.219063926940639,"NA",simple_inference,2,Tiger,clothes,clothes,1
part_14_simple_inference,4,4.219063926940639,"NA",simple_inference,3,Frog,vehicles,mammals,0
part_14_simple_inference,4,4.219063926940639,"NA",simple_inference,4,Bunny,fruits,fruits,1
part_15_simple_inference,3,3.8711187214611873,"NA",simple_inference,1,Bunny,vehicles,vehicles,1
part_15_simple_inference,3,3.8711187214611873,"NA",simple_inference,2,Beaver,fruits,fruits,1
part_15_simple_inference,3,3.8711187214611873,"NA",simple_inference,3,Sheep,clothes,clothes,1
part_15_simple_inference,3,3.8711187214611873,"NA",simple_inference,4,Tiger,mammals,mammals,1
part_16_simple_inference,4,4.588926940639269,M,simple_inference,1,Sheep,mammals,vehicles,0
part_16_simple_inference,4,4.588926940639269,M,simple_inference,2,Tiger,clothes,vehicles,0
part_16_simple_inference,4,4.588926940639269,M,simple_inference,3,Bunny,vehicles,mammals,0
part_16_simple_inference,4,4.588926940639269,M,simple_inference,4,Frog,fruits,fruits,1
part_17_simple_inference,3,3.7752283105022832,F,simple_inference,1,Frog,mammals,mammals,1
part_17_simple_inference,3,3.7752283105022832,F,simple_inference,2,Bunny,vehicles,vehicles,1
part_17_simple_inference,3,3.7752283105022832,F,simple_inference,3,Tiger,fruits,mammals,0
part_17_simple_inference,3,3.7752283105022832,F,simple_inference,4,Beaver,clothes,clothes,1
part_18_simple_inference,4,4.251940639269407,F,simple_inference,1,Beaver,clothes,clothes,1
part_18_simple_inference,4,4.251940639269407,F,simple_inference,2,Sheep,fruits,fruits,1
part_18_simple_inference,4,4.251940639269407,F,simple_inference,3,Tiger,mammals,mammals,1
part_18_simple_inference,4,4.251940639269407,F,simple_inference,4,Bunny,vehicles,vehicles,1
part_19_simple_inference,4,4.695776255707763,F,simple_inference,1,Frog,vehicles,fruits,0
part_19_simple_inference,4,4.695776255707763,F,simple_inference,2,Tiger,clothes,mammals,0
part_19_simple_inference,4,4.695776255707763,F,simple_inference,3,Sheep,fruits,mammals,0
part_19_simple_inference,4,4.695776255707763,F,simple_inference,4,Mouse,mammals,mammals,1
part_20_simple_inference,3,3.394406392694064,M,simple_inference,1,Beaver,clothes,clothes,1
part_20_simple_inference,3,3.394406392694064,M,simple_inference,2,Mouse,mammals,vehicles,0
part_20_simple_inference,3,3.394406392694064,M,simple_inference,3,Sheep,vehicles,fruits,0
part_20_simple_inference,3,3.394406392694064,M,simple_inference,4,Tiger,fruits,fruits,1
part_21_simple_inference,3,3.6628995433789955,F,simple_inference,1,Pig,fruits,fruits,1
part_21_simple_inference,3,3.6628995433789955,F,simple_inference,2,Bunny,vehicles,mammals,0
part_21_simple_inference,3,3.6628995433789955,F,simple_inference,3,Frog,clothes,mammals,0
part_21_simple_inference,3,3.6628995433789955,F,simple_inference,4,Mouse,mammals,mammals,1
part_22_simple_inference,3,3.931392694063927,M,simple_inference,1,Frog,clothes,clothes,1
part_22_simple_inference,3,3.931392694063927,M,simple_inference,2,Mouse,mammals,fruits,0
part_22_simple_inference,3,3.931392694063927,M,simple_inference,3,Sheep,vehicles,fruits,0
part_22_simple_inference,3,3.931392694063927,M,simple_inference,4,Beaver,fruits,fruits,1
part_24_simple_inference,4,4.109474885844749,M,simple_inference,1,Bunny,mammals,mammals,1
part_24_simple_inference,4,4.109474885844749,M,simple_inference,2,Sheep,clothes,clothes,1
part_24_simple_inference,4,4.109474885844749,M,simple_inference,3,Frog,vehicles,vehicles,1
part_24_simple_inference,4,4.109474885844749,M,simple_inference,4,Tiger,fruits,fruits,1
part_25_simple_inference,4,4.89851598173516,F,simple_inference,1,Tiger,fruits,clothes,0
part_25_simple_inference,4,4.89851598173516,F,simple_inference,2,Bunny,clothes,mammals,0
part_25_simple_inference,4,4.89851598173516,F,simple_inference,3,Frog,vehicles,vehicles,1
part_25_simple_inference,4,4.89851598173516,F,simple_inference,4,Mouse,mammals,mammals,1
part_26_simple_inference,4,4.6409817351598175,M,simple_inference,1,Bunny,fruits,fruits,1
part_26_simple_inference,4,4.6409817351598175,M,simple_inference,2,Beaver,mammals,mammals,1
part_26_simple_inference,4,4.6409817351598175,M,simple_inference,3,Sheep,vehicles,vehicles,1
part_26_simple_inference,4,4.6409817351598175,M,simple_inference,4,Mouse,clothes,clothes,1
part_27_simple_inference,3,3.6683789954337898,F,simple_inference,1,Sheep,fruits,fruits,1
part_27_simple_inference,3,3.6683789954337898,F,simple_inference,2,Frog,vehicles,vehicles,1
part_27_simple_inference,3,3.6683789954337898,F,simple_inference,3,Bunny,clothes,clothes,1
part_27_simple_inference,3,3.6683789954337898,F,simple_inference,4,Pig,mammals,mammals,1
